parametr,wartość,accuracy_train_avg,accuracy_test_avg,precision_train_class_0,recall_train_class_0,f1_train_class_0,precision_test_class_0,recall_test_class_0,f1_test_class_0,precision_train_class_1,recall_train_class_1,f1_train_class_1,precision_test_class_1,recall_test_class_1,f1_test_class_1,precision_train_class_2,recall_train_class_2,f1_train_class_2,precision_test_class_2,recall_test_class_2,f1_test_class_2,precision_train_class_3,recall_train_class_3,f1_train_class_3,precision_test_class_3,recall_test_class_3,f1_test_class_3
weights,uniform,0.96915,0.9577,0.9558960057963187,0.9533926341207195,0.9546401708982444,0.9341018027930866,0.9403794226698787,0.9371810730634993,0.9496214015708807,0.9677684762337627,0.9586069022399226,0.9384984340185503,0.9486335489673647,0.9434854915580434,0.9864838159640545,0.9882849780075009,0.9873833014944788,0.9757516449028989,0.9824523775016198,0.9790749205234406,0.9848490936505445,0.9677658302417795,0.9762324449996449,0.982908653446606,0.9600695409328391,0.9713396114983516
weights,distance,0.9944750000000001,0.9587,0.991824301439103,0.99152574086606,0.9916728628253928,0.9364544696563121,0.9423840750927261,0.9393372492491985,0.9911296645160981,0.993075992305408,0.99209973185888,0.9412068444507989,0.9490493493831652,0.9450395968903145,0.9972761526069341,0.9989918276327657,0.9981332107397103,0.9752669917076494,0.9824523775016198,0.9788321603319318,0.9976261790593967,0.9943774831654559,0.9959989901972277,0.9822389504379074,0.961613088876996,0.9717975557055174
weights,custom_linear,0.9944000000000001,0.9581000000000002,0.9915258372315346,0.9913301816219612,0.9914269365908872,0.9335632121270331,0.9388100105076473,0.9361076415315374,0.9908196085377539,0.9927688713533224,0.9917915804531743,0.9390442604745937,0.9515215149395475,0.9451940967982446,0.9972759954395057,0.9990916280319674,0.9981829696449559,0.9801147221462957,0.9824523775016198,0.9812695955214158,0.9979213138571101,0.9944774654726111,0.9961963128172207,0.9802009843247607,0.960467588148013,0.9701992311151295
weights,custom_inverse,0.9834999999999999,0.9584999999999999,0.9764578522249954,0.9767444364933662,0.9765977351661659,0.9354147206936595,0.9427657544820394,0.939005078910857,0.9734927099817398,0.9823349332257074,0.9778912828785028,0.9411825894265439,0.9486335489673647,0.9448193654526014,0.9919275551881512,0.9926303174816236,0.9922784921795117,0.9752669917076494,0.9824523775016198,0.9788321603319318,0.9921381504934708,0.9825468536998401,0.9873182524194684,0.9825971999044377,0.9608420295990285,0.971582312576342
p,1,0.9705999999999999,0.9612999999999999,0.9628598425372706,0.9536905528811538,0.9582509296149502,0.9499813956740878,0.9399458014845342,0.9448829362495095,0.9474116016081192,0.9714833473719114,0.9592962816428064,0.93871357247724,0.9585464982929836,0.9484938370258387,0.9864868632298218,0.9883863758054788,0.9874333156258833,0.9760460778485601,0.9832958655781292,0.9796418571976885,0.9857709572043538,0.9695411334517449,0.9775862806401037,0.9804172568290141,0.9643330169967765,0.9722812119477116
p,2,0.96915,0.9577,0.9558960057963187,0.9533926341207195,0.9546401708982444,0.9341018027930866,0.9403794226698787,0.9371810730634993,0.9496214015708807,0.9677684762337627,0.9586069022399226,0.9384984340185503,0.9486335489673647,0.9434854915580434,0.9864838159640545,0.9882849780075009,0.9873833014944788,0.9757516449028989,0.9824523775016198,0.9790749205234406,0.9848490936505445,0.9677658302417795,0.9762324449996449,0.982908653446606,0.9600695409328391,0.9713396114983516
p,3,0.9677250000000001,0.9582,0.9477149175484116,0.9559158848191286,0.9517910550299584,0.9295585815235936,0.9431331237150955,0.9362695604277238,0.9528521337592004,0.9643589333454236,0.9585674597675695,0.9435315874432337,0.949862129365797,0.9466475204753119,0.9858858290151382,0.9878821982947192,0.9868822141385293,0.9773564973763923,0.9832351563665904,0.9802751751491492,0.9851738684945308,0.9632311680754991,0.9740779761181109,0.9832575840280959,0.9573986397035652,0.9701415851620633
p,4,0.96695,0.9586,0.9474241442287512,0.9539651418906656,0.9506789250261916,0.9295671740367292,0.9435267351930529,0.9364541183129195,0.9512487136941268,0.9632265890064993,0.9571965922128001,0.9454549569234345,0.9494633249918373,0.9474151604691379,0.9852983711597487,0.9885852095923641,0.986937974241574,0.977287665921439,0.9836659671859198,0.9804524625102748,0.9844709314783089,0.9625444177052055,0.9733834547248812,0.9829217050742869,0.9585913621760241,0.9705894436812041
tie_breaker,random,0.96915,0.9577,0.9558960057963187,0.9533926341207195,0.9546401708982444,0.9341018027930866,0.9403794226698787,0.9371810730634993,0.9496214015708807,0.9677684762337627,0.9586069022399226,0.9384984340185503,0.9486335489673647,0.9434854915580434,0.9864838159640545,0.9882849780075009,0.9873833014944788,0.9757516449028989,0.9824523775016198,0.9790749205234406,0.9848490936505445,0.9677658302417795,0.9762324449996449,0.982908653446606,0.9600695409328391,0.9713396114983516
tie_breaker,first,0.9712250000000001,0.9584999999999999,0.9578326969623834,0.9570893987992084,0.957459344060091,0.936477048116461,0.9427657544820394,0.9395423280972033,0.9536366858657892,0.9688036026330046,0.961158810527726,0.9400217226348051,0.9486335489673647,0.944234831961101,0.9872007800873916,0.9898983266850969,0.9885471876858976,0.9752669917076494,0.9824523775016198,0.9788321603319318,0.9864593988017782,0.969635756014223,0.9779743802453448,0.9825971999044377,0.9608420295990285,0.971582312576342
tie_breaker,min_label,0.9694,0.9591,0.9525528641377699,0.9573829414362045,0.9549596618427294,0.9334490104549851,0.9466961473552844,0.9399591461178465,0.9501904208012352,0.9674614423150547,0.9587447905385051,0.9416085342004274,0.9490493493831652,0.9452446969127257,0.9874725131185584,0.9876740702117885,0.9875728346512973,0.9773001383739087,0.9824523775016198,0.979855030083721,0.9879970420962056,0.9655968348501126,0.9766671979729246,0.984860066589372,0.9588899582284414,0.971682919528017
tie_breaker,max_label,0.9688500000000001,0.9568,0.9590183445509377,0.9495947109085195,0.9542820958504542,0.9378890566180761,0.9355958608112612,0.9366883714329701,0.9492452347689444,0.9678709093879609,0.9584652694103222,0.9346917044549261,0.9490514437317641,0.941738914686078,0.9861951918131975,0.9889910624399721,0.9875908502247688,0.9741142395405422,0.9824523775016198,0.9782529055211213,0.9809492021710874,0.969635756014223,0.9752593014981589,0.980615366521856,0.9608420295990285,0.9706167544962903
n_neighbors,2,0.9759499999999999,0.9560000000000001,0.9636932409705228,0.9634135335146767,0.9635506415853643,0.9286016867773563,0.935119100825243,0.9318306111326674,0.9682534548313338,0.9699470102011378,0.9690971286592935,0.942393897919146,0.9433496242414682,0.9428387633959125,0.9894236473623852,0.9923269067791611,0.9908704271400955,0.9805643391719464,0.9828793448394991,0.9817074925426862,0.9825926615191618,0.9784028777350878,0.9804886520540984,0.9729264155395514,0.9631596223389695,0.9680071854968123
n_neighbors,3,0.9745000000000001,0.9606,0.9613238855967688,0.9628238002700945,0.9620695731802563,0.943254069782444,0.9399431919908616,0.9415545039582589,0.9611229767655296,0.9729390164809664,0.9669935146084144,0.9411311549590675,0.9543301667764187,0.947665717248326,0.9898858653015772,0.9885885500607319,0.989236436434908,0.9776677940594023,0.9836671218093551,0.980647290792071,0.9859319537425645,0.9740815197350322,0.9799686505650168,0.9803558875556622,0.9651073152753057,0.9726480175865968
n_neighbors,5,0.96915,0.9577,0.9558960057963187,0.9533926341207195,0.9546401708982444,0.9341018027930866,0.9403794226698787,0.9371810730634993,0.9496214015708807,0.9677684762337627,0.9586069022399226,0.9384984340185503,0.9486335489673647,0.9434854915580434,0.9864838159640545,0.9882849780075009,0.9873833014944788,0.9757516449028989,0.9824523775016198,0.9790749205234406,0.9848490936505445,0.9677658302417795,0.9762324449996449,0.982908653446606,0.9600695409328391,0.9713396114983516
n_neighbors,10,0.964825,0.9585999999999999,0.9481223220105377,0.9497911704806274,0.9489536475775479,0.9354578907499962,0.9439173602883176,0.9395990480054707,0.9439880695473498,0.9625068129093638,0.953156359385844,0.9424085219915241,0.949542364614086,0.9458930292488251,0.9820235600145365,0.9881824398816906,0.9850929934149978,0.9737364297817745,0.9837073882118741,0.9786756298257318,0.985719500360356,0.9594903529383817,0.9724278925995445,0.9833176999992139,0.9581335948481297,0.9705451046042015
